name,date,passenger
신분당선,201806,1955734
신분당선,201807,2087749
신분당선,201808,1984894
신분당선,201809,1839453
신분당선,201810,2144780
신분당선,201811,2170611
신분당선,201812,2071984
신분당선,201901,2180780
신분당선,201902,1786261
신분당선,201903,2113973
신분당선,201904,2152781
신분당선,201905,2188387
9호선2~3단계,201711,1250735
9호선2~3단계,201712,1265416
9호선2~3단계,201801,1209854
9호선2~3단계,201802,1042233
9호선2~3단계,201803,1247175
9호선2~3단계,201804,1219429
9호선2~3단계,201805,1250901
9호선2~3단계,201806,1205295
9호선2~3단계,201807,1338918
9호선2~3단계,201808,1295631
9호선2~3단계,201809,1109463
9호선2~3단계,201810,1295541
9호선2~3단계,201811,1344562
9호선2~3단계,201812,2295575
9호선2~3단계,201901,2306314
9호선2~3단계,201902,1967867
9호선2~3단계,201903,2433763
9호선2~3단계,201904,2515796
9호선2~3단계,201905,2643570
용인에버라인,201711,618791
용인에버라인,201712,584174
용인에버라인,201801,510582
용인에버라인,201802,469841
용인에버라인,201803,664818
용인에버라인,201804,666028
용인에버라인,201805,736844
용인에버라인,201806,664427
용인에버라인,201807,656141
용인에버라인,201808,627058
용인에버라인,201809,664197
용인에버라인,201810,756895
용인에버라인,201811,745732
용인에버라인,201812,684228
용인에버라인,201901,643464
용인에버라인,201902,565681
용인에버라인,201903,750035
용인에버라인,201904,784782
용인에버라인,201905,844987
의정부경전철,201711,999887
의정부경전철,201712,991726
의정부경전철,201801,923557
의정부경전철,201802,840383
의정부경전철,201803,1058708
의정부경전철,201804,1043013
의정부경전철,201805,1095397
의정부경전철,201806,1038364
의정부경전철,201807,1033396
의정부경전철,201808,975680
의정부경전철,201809,987796
의정부경전철,201810,1109088
의정부경전철,201811,1072441
의정부경전철,201812,1036331
의정부경전철,201901,1016354
의정부경전철,201902,908728
의정부경전철,201903,1089564
의정부경전철,201904,1106317
의정부경전철,201905,1181289
경기철도,201711,1328466
경기철도,201712,1354431
경기철도,201801,1324168
경기철도,201802,1162499
경기철도,201803,1436342
경기철도,201804,1410508
경기철도,201805,1751028
경기철도,201806,1686124
경기철도,201807,1767739
경기철도,201808,1699502
경기철도,201809,1636859
경기철도,201810,1882550
경기철도,201811,1907433
경기철도,201812,1878019
경기철도,201901,1907606
경기철도,201902,1609567
경기철도,201903,1939764
경기철도,201904,1965854
경기철도,201905,2038707
